Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.431047000000000,9,0xD3,0x25,Read,ACK
0.431072500000000,9,0xD3,0xFF,Read,NAK
0.531565000000000,10,0xD2,0x2D,Write,ACK
0.531619000000000,11,0xD3,0xFE,Read,ACK
0.531644500000000,11,0xD3,0x4C,Read,ACK
0.531670000000000,11,0xD3,0xF8,Read,ACK
0.531695500000000,11,0xD3,0x8D,Read,ACK
0.531721000000000,11,0xD3,0xFE,Read,ACK
0.531746500000000,11,0xD3,0x94,Read,ACK
0.531772500000000,11,0xD3,0x00,Read,ACK
0.531798000000000,11,0xD3,0x84,Read,ACK
0.531823500000000,11,0xD3,0x00,Read,ACK
0.531849000000000,11,0xD3,0x37,Read,ACK
0.531875000000000,11,0xD3,0x00,Read,ACK
0.531900500000000,11,0xD3,0x34,Read,ACK
0.531926000000000,11,0xD3,0x0E,Read,ACK
0.531951500000000,11,0xD3,0x50,Read,ACK
0.531977000000000,11,0xD3,0xAE,Read,ACK
0.532003000000000,11,0xD3,0x00,Read,ACK
0.532028500000000,11,0xD3,0xC0,Read,ACK
0.532054000000000,11,0xD3,0xFE,Read,ACK
0.532079500000000,11,0xD3,0x24,Read,ACK
0.532105500000000,11,0xD3,0xFF,Read,NAK
0.632598000000000,12,0xD2,0x2D,Write,ACK
0.632652000000000,13,0xD3,0xFE,Read,ACK
0.632677500000000,13,0xD3,0x50,Read,ACK
0.632703000000000,13,0xD3,0xF8,Read,ACK
0.632729000000000,13,0xD3,0x58,Read,ACK
0.632754500000000,13,0xD3,0xFE,Read,ACK
0.632780000000000,13,0xD3,0x61,Read,ACK
0.632805500000000,13,0xD3,0x00,Read,ACK
0.632831000000000,13,0xD3,0x22,Read,ACK
0.632857000000000,13,0xD3,0x00,Read,ACK
0.632882500000000,13,0xD3,0x2F,Read,ACK
0.632908000000000,13,0xD3,0xFF,Read,ACK
0.632933500000000,13,0xD3,0xFB,Read,ACK
0.632959500000000,13,0xD3,0x0E,Read,ACK
0.632985000000000,13,0xD3,0x50,Read,ACK
0.633010500000000,13,0xD3,0xBB,Read,ACK
0.633036000000000,13,0xD3,0x00,Read,ACK
0.633062000000000,13,0xD3,0xBE,Read,ACK
0.633087500000000,13,0xD3,0xFE,Read,ACK
0.633113000000000,13,0xD3,0x28,Read,ACK
0.633138500000000,13,0xD3,0xFF,Read,NAK
0.733631000000000,14,0xD2,0x2D,Write,ACK
0.733685000000000,15,0xD3,0xFE,Read,ACK
0.733710500000000,15,0xD3,0x56,Read,ACK
0.733736000000000,15,0xD3,0xF8,Read,ACK
0.733761500000000,15,0xD3,0x68,Read,ACK
0.733787500000000,15,0xD3,0xFD,Read,ACK
0.733813000000000,15,0xD3,0xFD,Read,ACK
0.733838500000000,15,0xD3,0x00,Read,ACK
0.733864000000000,15,0xD3,0xA7,Read,ACK
0.733889500000000,15,0xD3,0xFF,Read,ACK
0.733915000000000,15,0xD3,0xFF,Read,ACK
0.733940500000000,15,0xD3,0x00,Read,ACK
0.733966500000000,15,0xD3,0x2F,Read,ACK
0.733992000000000,15,0xD3,0x0E,Read,ACK
0.734017500000000,15,0xD3,0x50,Read,ACK
0.734043000000000,15,0xD3,0xB3,Read,ACK
0.734068500000000,15,0xD3,0x00,Read,ACK
0.734094000000000,15,0xD3,0xB9,Read,ACK
0.734120000000000,15,0xD3,0xFE,Read,ACK
0.734145500000000,15,0xD3,0x24,Read,ACK
0.734171000000000,15,0xD3,0xFF,Read,NAK
1.534234000000000,16,0xD2,0x7F,Write,ACK
1.534259500000000,16,0xD2,0x00,Write,ACK
1.544324500000000,17,0xD2,0x7F,Write,ACK
1.544378500000000,18,0xD3,0x00,Read,NAK
1.544511500000000,19,0xD2,0x06,Write,ACK
1.544537000000000,19,0xD2,0x01,Write,ACK
1.554315500000000,20,0xD2,0x06,Write,ACK
1.554370000000000,21,0xD3,0x01,Read,NAK
1.554488500000000,22,0xD2,0x03,Write,ACK
1.554514000000000,22,0xD2,0x20,Write,ACK
1.564319000000000,23,0xD2,0x03,Write,ACK
